IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.178.225,8443,8443,true,SIN,Asia Pacific,Singapore,129,12.119999999999999
8.222.212.116,2083,2083,true,SIN,Asia Pacific,Singapore,7,12.119999999999999
47.245.37.12,2087,2087,true,NRT,Asia Pacific,Tokyo,217,12.119999999999999
8.219.139.86,2053,2053,true,SIN,Asia Pacific,Singapore,172,12.109999999999999
8.209.242.25,2083,2083,true,NRT,Asia Pacific,Tokyo,99,12.109999999999999
8.222.134.170,2087,2087,true,SIN,Asia Pacific,Singapore,113,12.109999999999999
8.219.147.58,2087,2087,true,SIN,Asia Pacific,Singapore,100,12.109999999999999
8.219.175.127,443,443,true,SIN,Asia Pacific,Singapore,86,12.1
47.245.110.13,8443,8443,true,SIN,Asia Pacific,Singapore,92,12.1
8.219.101.138,2087,2087,true,SIN,Asia Pacific,Singapore,92,12.1
8.219.121.87,2053,2053,true,SIN,Asia Pacific,Singapore,83,12.09
47.74.15.120,2096,2096,true,NRT,Asia Pacific,Tokyo,169,12.09
8.219.60.68,8443,8443,true,SIN,Asia Pacific,Singapore,74,12.09
8.222.136.196,2053,2053,true,SIN,Asia Pacific,Singapore,60,12.09
8.219.151.193,2053,2053,true,SIN,Asia Pacific,Singapore,115,12.09
47.245.14.160,2083,2083,true,NRT,Asia Pacific,Tokyo,283,12.07
47.91.29.108,2096,2096,true,NRT,Asia Pacific,Tokyo,93,12.07
8.209.248.161,8443,8443,true,NRT,Asia Pacific,Tokyo,135,12.06
8.222.224.17,2053,2053,true,SIN,Asia Pacific,Singapore,67,12.06
8.219.206.180,2083,2083,true,SIN,Asia Pacific,Singapore,138,12.06
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,132,12.06
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,128,12.06
8.219.215.214,2083,2083,true,SIN,Asia Pacific,Singapore,112,12.050000000000001
8.219.198.34,2053,2053,true,SIN,Asia Pacific,Singapore,190,12.050000000000001
8.222.129.32,2096,2096,true,SIN,Asia Pacific,Singapore,43,12.050000000000001
47.245.41.169,2096,2096,true,NRT,Asia Pacific,Tokyo,256,12.039999999999999
47.74.8.238,2096,2096,true,NRT,Asia Pacific,Tokyo,188,12.029999999999999
8.219.245.187,443,443,true,SIN,Asia Pacific,Singapore,144,12.01
47.245.33.158,2096,2096,true,NRT,Asia Pacific,Tokyo,281,12
8.219.178.225,2096,2096,true,SIN,Asia Pacific,Singapore,48,11.99
47.74.46.84,2087,2087,true,NRT,Asia Pacific,Tokyo,248,11.99
47.236.174.206,2053,2053,true,SIN,Asia Pacific,Singapore,59,11.98
8.219.163.195,2087,2087,true,SIN,Asia Pacific,Singapore,53,11.98
8.209.212.5,2053,2053,true,NRT,Asia Pacific,Tokyo,150,11.98
8.218.52.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,11.98
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,11.98
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,112,11.98
8.222.154.50,2096,2096,true,SIN,Asia Pacific,Singapore,11,11.98
8.219.60.54,2096,2096,true,SIN,Asia Pacific,Singapore,78,11.970000000000001
8.219.137.50,2053,2053,true,SIN,Asia Pacific,Singapore,128,11.970000000000001
8.219.202.130,8443,8443,true,SIN,Asia Pacific,Singapore,108,11.970000000000001
8.219.202.130,2087,2087,true,SIN,Asia Pacific,Singapore,225,11.970000000000001
8.219.193.202,2053,2053,true,SIN,Asia Pacific,Singapore,115,11.949999999999999
47.91.14.47,2096,2096,true,NRT,Asia Pacific,Tokyo,155,11.949999999999999
8.219.206.53,2087,2087,true,SIN,Asia Pacific,Singapore,137,11.949999999999999
8.219.121.24,8443,8443,true,SIN,Asia Pacific,Singapore,89,11.949999999999999
8.222.208.83,2087,2087,true,SIN,Asia Pacific,Singapore,53,11.949999999999999
8.219.51.211,2087,2087,true,SIN,Asia Pacific,Singapore,70,11.949999999999999
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,136,11.949999999999999
47.245.87.167,2053,2053,true,SIN,Asia Pacific,Singapore,60,11.949999999999999
8.219.228.186,2083,2083,true,SIN,Asia Pacific,Singapore,144,11.94
8.219.209.14,8443,8443,true,SIN,Asia Pacific,Singapore,241,11.94
8.219.206.180,2083,2083,true,SIN,Asia Pacific,Singapore,309,11.93
8.219.247.53,2087,2087,true,SIN,Asia Pacific,Singapore,163,11.93
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,99,11.93
8.219.156.148,2053,2053,true,SIN,Asia Pacific,Singapore,66,11.92
47.245.15.236,2053,2053,true,NRT,Asia Pacific,Tokyo,250,11.92
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,73,11.92
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,11.91
47.245.41.69,2083,2083,true,NRT,Asia Pacific,Tokyo,320,11.91
8.219.184.92,2083,2083,true,SIN,Asia Pacific,Singapore,268,11.91
47.245.10.164,2053,2053,true,NRT,Asia Pacific,Tokyo,252,11.91
8.219.245.232,8443,8443,true,SIN,Asia Pacific,Singapore,77,11.9
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,159,11.9
8.209.248.161,2087,2087,true,NRT,Asia Pacific,Tokyo,138,11.9
47.236.114.167,2083,2083,true,SIN,Asia Pacific,Singapore,86,11.890000000000001
8.219.220.88,8443,8443,true,SIN,Asia Pacific,Singapore,170,11.890000000000001
8.219.107.135,2096,2096,true,SIN,Asia Pacific,Singapore,91,11.880000000000001
8.219.140.63,2083,2083,true,SIN,Asia Pacific,Singapore,202,11.880000000000001
8.219.177.205,2087,2087,true,SIN,Asia Pacific,Singapore,232,11.869999999999999
8.219.199.220,2053,2053,true,SIN,Asia Pacific,Singapore,141,11.859999999999999
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,176,11.859999999999999
47.245.12.179,2083,2083,true,NRT,Asia Pacific,Tokyo,284,11.85
47.236.171.112,2096,2096,true,SIN,Asia Pacific,Singapore,81,11.85
47.245.33.56,2053,2053,true,NRT,Asia Pacific,Tokyo,202,11.85
8.219.241.189,2083,2083,true,SIN,Asia Pacific,Singapore,198,11.85
47.236.7.206,2083,2083,true,SIN,Asia Pacific,Singapore,74,11.85
47.245.11.136,2087,2087,true,NRT,Asia Pacific,Tokyo,177,11.85
8.219.242.208,8443,8443,true,SIN,Asia Pacific,Singapore,130,11.85
47.245.9.99,2096,2096,true,NRT,Asia Pacific,Tokyo,182,11.84
47.245.14.216,2083,2083,true,NRT,Asia Pacific,Tokyo,241,11.83
47.236.150.109,2087,2087,true,SIN,Asia Pacific,Singapore,76,11.83
47.236.168.17,8443,8443,true,SIN,Asia Pacific,Singapore,95,11.83
